Word	Usage

the	417
I	261
to	242
of	242
and	227
a	212
in	153
was	120
it	106
his	99
you	98
that	97
is	83
he	81
my	68
with	67
have	62
had	61
at	56
not	55
be	55
she	55
which	54
as	52
It	48
her	47
Holmes	47
me	46
The	45
for	44
from	42
but	34
will	34
an	32
up	32
said	32
You	31
who	30
into	30
your	30
by	30
And	29
been	29
He	27
all	27
out	27
were	26
do	26
on	26
one	25
are	25
could	25
upon	25
him	24
when	24
we	24
this	24
am	23
man	22
down	22
photograph	21
or	21
what	21
so	20
may	20
very	20
there	20
has	20
would	19
But	19
Then	19
room	18
own	18
know	18
must	17
how	17
if	17
She	16
King	16
then	16
Majesty	16
more	16
A	15
little	14
should	14
house	14
see	14
before	14
door	13
minutes	13
hand	13
other	12
There	12
Irene	12
Adler	12
no	12
just	12
woman	12
good	12
Lodge	11
myself	11
made	11
What	11
some	11
street	11
open	11
most	11
We	11
than	11
Briony	11
half	11
matter	11
think	10
yet	10
window	10
face	10
without	10
fire	10
Sherlock	10
might	10
This	10
our	10
now	10
two	10
nothing	10
three	10
cried	9
back	9
paper	9
once	9
eyes	9
still	9
over	9
found	9
their	9
them	9
about	9
They	9
My	9
shall	9
note	9
part	9
call	9
indeed	8
looked	8
Your	8
Mr	8
left	8
seen	8
under	8
tell	8
lady	8
As	8
such	8
To	8
us	8
night	8
asked	8
well	8
case	8
If	8
Bohemia	8
while	8
only	8
remarked	8
heard	8
much	7
look	7
did	7
When	7
front	7
right	7
whom	7
came	7
morning	7
saw	7
sitting	7
time	7
they	7
Now	7
gentleman	7
take	7
Street	7
come	7
make	7
side	7
every	7
five	7
That	7
rushed	7
men	7
took	7
watch	6
friend	6
like	6
clear	6
find	6
German	6
can	6
whether	6
address	6
small	6
client	6
where	6
His	6
Baker	6
quite	6
rather	6
say	6
mind	6
At	6
Watson	6
name	6
too	6
Adventure	6
understand	6
way	6
Norton	6
better	5
told	5
wish	5
Well	5
end	5
corner	5
person	5
bell	5
Doctor	5
Serpentine	5
enough	5
visitor	5
great	5
hands	5
raise	5
cry	5
does	5
dear	5
knew	5
moment	5
cab	5
love	5
soul	5
both	5
however	5
dark	5
answered	5
looking	5
away	5
work	5
himself	5
its	5
again	5
against	5
Godfrey	5
mask	5
already	5
always	5
clergyman	5
sure	5
help	5
Not	5
long	5
oclock	5
point	4
course	4
day	4
secure	4
St	4
appeared	4
between	4
smoke	4
best	4
being	4
old	4
became	4
steps	4
interested	4
business	4
people	4
round	4
instant	4
brougham	4
rocket	4
armchair	4
six	4
double	4
doubt	4
home	4
any	4
object	4
another	4
landau	4
alarm	4
dressed	4
agent	4
after	4
returned	4
drove	4
laughing	4
across	4
even	4
matters	4
twice	4
twenty	4
importance	4
get	4
never	4
pulled	4
whole	4
few	4
Come	4
present	4
follow	4
followed	4
life	4
simple	4
word	4
eight	4
Oh	4
seven	4
go	4
marriage	4
give	4
No	4
really	4
How	4
lost	4
until	4
character	4
past	4
nature	4
wait	4
In	4
thought	4
those	4
caught	4
none	4
since	4
times	4
else	4
throw	4
less	4
through	4
Temple	4
hopes	4
young	4
scene	3
imagine	3
aware	3
wanted	3
question	3
yourself	3
comes	3
married	3
sharp	3
stood	3
Avenue	3
several	3
off	3
running	3
shouted	3
walk	3
Is	3
church	3
Indeed	3
guardsmen	3
hat	3
murmured	3
broad	3
false	3
bring	3
strange	3
walked	3
shown	3
strong	3
attention	3
keen	3
manner	3
many	3
stepped	3
gave	3
Do	3
pull	3
heavy	3
coachman	3
why	3
Count	3
clothes	3
morrow	3
same	3
deep	3
Church	3
spoke	3
black	3
sovereign	3
husband	3
hurried	3
Bohemian	3
delicate	3
mews	3
bedroom	3
hundred	3
From	3
save	3
figure	3
pushed	3
wheels	3
often	3
station	3
scandal	3
wrote	3
hear	3
Europe	3
English	3
deduce	3
mean	3
written	3
started	3
behind	3
white	3
new	3
paced	3
ten	3
lay	3
likely	3
lawyer	3
chair	3
laughed	3
hall	3
evening	3
ever	3
pair	3
taken	3
Quite	3
trust	3
turned	3
lit	3
Precisely	3
Pray	3
cant	3
ago	3
letter	3
Was	3
either	3
threw	3
Where	3
Why	3
things	3
thing	3
couch	3
these	3
Yes	3
John	3
letters	3
carriage	3
able	3
So	3
top	3
tore	3
each	3
account	3
seemed	3
laid	3
hour	3
London	3
surprise	3
reasoning	3
reasoner	3
honour	3
dont	3
glimpse	3
air	3
crowd	3
practice	3
Monica	3
Miss	3
hardly	3
glass	3
sent	3
reached	3
use	3
large	3
done	3
servant	3
powers	3
dress	3
facts	3
almost	3
horses	3
observed	3
voice	3
received	3
also	3
seriously	3
altar	3
On	3
excellent	3
data	2
passage	2
coming	2
scissors	2
costume	2
hot	2
high	2
country	2
passing	2
seized	2
crime	2
consult	2
compelled	2
seldom	2
complete	2
hope	2
hum	2
dashed	2
seems	2
companion	2
continued	2
send	2
contrary	2
perfectly	2
pay	2
pocket	2
read	2
given	2
quick	2
family	2
quiet	2
glad	2
fail	2
ran	2
factor	2
glanced	2
eye	2
ransacked	2
extraordinary	2
reach	2
fare	2
expected	2
examined	2
gold	2
gone	2
evidently	2
got	2
power	2
pounds	2
post	2
possibility	2
reigning	2
entered	2
position	2
garden	2
friends	2
private	2
probably	2
problem	2
forward	2
formidable	2
process	2
former	2
following	2
future	2
preposterous	2
prompt	2
flight	2
engaged	2
general	2
first	2
getting	2
fierce	2
field	2
felt	2
quarter	2
quarters	2
fear	2
queen	2
girl	2
quest	2
pity	2
ring	2
hard	2
dozen	2
harness	2
plan	2
doing	2
rooms	2
rose	2
having	2
royal	2
ruin	2
head	2
direction	2
drawing	2
rush	2
different	2
heartily	2
desire	2
sat	2
perhaps	2
delicacy	2
deeply	2
deduction	2
here	2
days	2
hereditary	2
ha	2
energetic	2
rely	2
remain	2
grinder	2
groom	2
ground	2
employed	2
remarkably	2
emotion	2
emerged	2
pockets	2
believe	2
resolute	2
herself	2
habits	2
ear	2
eagerly	2
hadnt	2
drug	2
dropped	2
returns	2
handsome	2
drive	2
rich	2
drew	2
plans	2
admirably	2
lane	2
alone	2
akin	2
number	2
swiftly	2
late	2
lately	2
week	2
system	2
t	2
table	2
advantage	2
taking	2
landlady	2
marry	2
admirable	2
adjusted	2
wear	2
HOLMES	2
weapon	2
lead	2
accustomed	2
least	2
leather	2
theories	2
leave	2
observing	2
balancing	2
bad	2
Edgeware	2
streets	2
stretched	2
attempts	2
attempt	2
England	2
struck	2
Fire	2
associated	2
study	2
Five	2
waylaid	2
For	2
successful	2
kingdom	2
observe	2
knot	2
appearance	2
suit	2
G	2
anything	2
went	2
lamps	2
among	2
Ormstein	2
von	2
lights	2
SHERLOCK	2
Road	2
maid	2
mysteries	2
mystery	2
true	2
turn	2
neutral	2
Kramm	2
P	2
Our	2
lighting	2
One	2
neither	2
ulster	2
Let	2
neighbourhood	2
near	2
None	2
Never	2
