Word          Usage

which        55
holmes       49
there        32
could        25
photograph   21
would        20
street       18
majesty      16
house        15
should       14
little       14
before       14
minutes      13
adler        13
irene        13
sherlock     12
other        12
woman        12
briony       11
lodge        11
matter       11
indeed       11
nothing      11
myself       11
think        10
might        10
window       10
three        10
without      10
their         9
paper         9
bohemia       9
still         9
cried         9
found         9
where         9
about         9
shall         9
quite         9
heard         8
under         8
asked         8
night         8
looked        8
remarked      8
while         8
norton        7
sitting       7
rushed        7
morning       7
right         7
gentleman     7
adventure     7
every         7
front         7
rather        7
understand    6
small         6
whether       6
baker         6
watson        6
german        6
address       6
clear         6
watch         6
client        6
friend        6
never         6
church        6
twice         6
moment        5
oclock        5
clergyman     5
visitor       5
hands         5
corner        5
until         5
godfrey       5
serpentine    5
seven         5
against       5
however       5
person        5
answered      5
raise         5
great         5
looking       5
himself       5
doctor        5
better        5
always        5
already       5
enough        5
again         5
scandal       5
after         5
interested    4
hopes         4
through       4
point         4
returned      4
avenue        4
times         4
agent         4
these         4
instant       4
secure        4
eight         4
steps         4
really        4
behind        4
those         4
present       4
matters       4
dressed       4
importance    4
between       4
people        4
another       4
alarm         4
armchair      4
caught        4
across        4
bring         4
large         4
marriage      4
nature        4
doubt         4
throw         4
brougham      4
married       4
temple        4
since         4
character     4
course        4
landau        4
thought       4
twenty        4
heavy         4
appeared      4
simple        4
being         4
precisely     4
laughing      4
certainly     4
follow        4
object        4
pulled        4
smoke         4
whole         4
rocket        4
young         4
became        4
followed      4
drove         4
double        4
business      4
round         4
almost        3
accustomed    3
london        3
imagine       3
black         3
clothes       3
letters       3
servant       3
white         3
yourself      3
thing         3
paced         3
deduce        3
absolutely    3
laughed       3
surprise      3
stood         3
murmured      3
threw         3
women         3
seriously     3
hardly        3
taken         3
shown         3
manner        3
aware         3
evening       3
often         3
figure        3
observed      3
question      3
because       3
morrow        3
practice      3
thick         3
husband       3
guardsmen     3
station       3
several       3
walked        3
either        3
bedroom       3
started       3
account       3
powers        3
strange       3
running       3
reached       3
altar         3
europe        3
study         3
couch         3
seemed        3
chair         3
received      3
hurried       3
facts         3
bohemian      3
trust         3
attention     3
written       3
wrote         3
bought        3
count         3
honour        3
english       3
turned        3
sovereign     3
glimpse       3
strong        3
voice         3
coachman      3
pushed        3
delicate      3
reasoner      3
excellent     3
things        3
broad         3
dress         3
monica        3
carriage      3
spoke         3
scene         3
crowd         3
glass         3
lawyer        3
false         3
wanted        3
comes         3
sharp         3
drive         3
letter        3
reasoning     3
horses        3
wheels        3
stepped       3
seldom        3
likely        3
hundred       3
mystery       3
shouted       3
forward       2
dashed        2
continued     2
theres        2
money         2
broke         2
lights        2
loungers      2
sheet         2
struck        2
remarkable    2
shelves       2
stairs        2
passage       2
entered       2
within        2
brown         2
england       2
besides       2
cloak         2
shoulders     2
appearance    2
carried       2
direction     2
watched       2
company       2
neither       2
injured       2
stands        2
carry         2
peculiar      2
crown         2
kramm         2
womans        2
writing       2
examined      2
alone         2
theories      2
quarters      2
anything      2
weapon        2
royal         2
influence     2
consult       2
quarter       2
table         2
ulster        2
title         2
injuring      2
called        2
grinder       2
scissors      2
frequently    2
cigarette     2
delicacy      2
lighting      2
yours         2
quiet         2
contrary      2
believe       2
ormstein      2
hereditary    2
shouting      2
glanced       2
coming        2
waiting       2
though        2
lamps         2
lounging      2
incisive      2
energetic     2
slowly        2
silence       2
sprang        2
perfectly     2
ground        2
costume       2
attempt       2
process       2
passing       2
engaged       2
general       2
deduction     2
doing         2
someone       2
putting       2
years         2
warsaw        2
system        2
information   2
leather       2
signal        2
remain        2
stage         2
number        2
itself        2
together      2
given         2
advantage     2
changed       2
legal         2
papers        2
country       2
taking        2
formidable    2
entirely      2
getting       2
private       2
stolen        2
harness       2
attempts      2
ransacked     2
neutral       2
interfere     2
waylaid       2
observe       2
quest         2
leave         2
sliding       2
pounds        2
herself       2
cigars        2
steel         2
beautiful     2
kindly        2
brought       2
resolute      2
cause         2
marry         2
chance        2
spoken        2
chamber       2
problem       2
chest         2
kingdom       2
eagerly       2
swiftly       2
pacing        2
different     2
spare         2
rooms         2
cabinet       2
desire        2
prompt        2
landlady      2
seized        2
associated    2
intention     2
plans         2
future        2
inquiry       2
companion     2
something     2
situation     2
quick         2
streets       2
possibility   2
having        2
close         2
opened        2
majestys      2
groom         2
