Word           Usage

that           10070
they           3316
what           3228
with           2793
said           2582
have           2459
were           2341
your           2278
there          1882
know           1731
them           1721
when           1721
this           1694
from           1676
would          1643
their          1513
rearden        1433
like           1403
which          1362
could          1348
only           1303
will           1286
taggart        1270
been           1222
about          1216
then           1180
thought        1048
face           979
think          919
want           895
nothing        871
some           859
into           831
felt           830
never          820
time           816
voice          793
looked         784
knew           772
look           735
down           725
made           708
just           702
asked          685
right          681
first          675
because        661
people         660
through        652
eyes           644
mind           607
than           606
moment         606
dagny          592
more           591
give           591
over           591
still          590
long           583
tell           583
here           582
those          572
going          562
against        559
back           553
where          548
gait           545
life           540
looking        539
world          528
make           528
every          527
francisco      520
answer         506
seemed         505
left           498
stood          491
well           483
years          474
heard          463
without        458
take           452
last           452
come           451
work           446
other          445
wanted         444
ever           443
room           440
should         435
miss           434
metal          429
such           421
away           418
didn           416
line           414
head           414
came           411
good           409
anything       407
while          401
before         399
kind           399
words          399
much           388
once           385
being          379
went           377
matter         366
after          359
find           358
sound          357
always         356
something      354
stopped        352
money          351
smile          350
body           347
country        347
power          346
mean           343
things         340
reason         337
office         335
himself        335
feel           334
railroad       331
need           330
held           322
name           321
another        320
under          317
great          317
even           315
hand           313
turned         311
three          310
answered       309
understand     307
open           305
across         304
order          302
wish           302
whether        300
most           297
door           295
same           294
must           292
love           290
human          290
told           289
seen           285
able           281
feeling        278
eddie          278
help           277
past           276
john           275
train          274
night          274
suddenly       273
steel          273
half           270
purpose        270
around         266
nobody         265
ferris         265
means          264
light          263
public         259
sight          258
kept           252
place          252
tone           250
found          250
others         249
these          248
believe        247
existence      246
moral          246
hear           245
glance         244
hank           243
manner         240
little         240
many           237
motor          237
live           237
sudden         236
since          235
thing          235
business       234
within         234
knowledge      233
wouldn         233
whatever       230
keep           229
sense          227
woman          226
course         225
transcontinental225
does           224
question       224
stadler        223
anconia        222
self           221
between        221
known          221
state          220
earth          220
value          219
gave           219
nature         219
person         218
done           217
thompson       216
chance         216
slowly         215
given          214
evil           213
best           213
smiled         212
except         212
effort         210
very           210
pain           209
single         209
